id;timestamp;table_name;no;text_no;line_no;text
1;2019-10-07T23:57:02;Chief generating frictionless;navigating;36305;59029;solution-oriented
2;2019-10-07T19:05:06;users Guinea;SQL lavender;97454;76360;Wooden COM Cambridgeshire
3;2019-10-07T12:35:44;digital supply-chains;Bedfordshire;74168;54163;withdrawal Down-sized Metal
4;2019-10-07T14:01:35;Liaison Tonga;Lari;68318;1839;Global Soft Missouri
5;2019-10-08T03:29:14;India;Buckinghamshire microchip;10657;1099;Concrete
6;2019-10-07T12:27:52;USB;Phased payment;49427;17537;Internal niches
7;2019-10-08T00:52:10;Ireland Fantastic Wooden Chips microchip;Generic;77098;24534;generate
8;2019-10-08T03:08:09;ubiquitous monitor;Home Loan Account;94930;47605;invoice Research
9;2019-10-07T16:28:59;black Beauty;Soap;84152;5142;Cambridgeshire Savings Account extensible
10;2019-10-07T15:33:46;Incredible Incredible;supply-chains feed Investment Account;45968;24640;bypassing
