id;timestamp;modification_date;code;description
1;2019-10-08T16:45:55;2019-10-09T02:20:24;SMTP;Checking Account global Steel
2;2019-10-08T15:11:45;2019-10-08T19:21:27;Springs connecting;SAS
3;2019-10-08T18:04:04;2019-10-08T08:04:56;Refined redundant;Granite Grocery
4;2019-10-08T13:11:25;2019-10-08T12:28:53;payment digital;Rubber Industrial seamless
5;2019-10-08T17:09:20;2019-10-08T16:02:02;Jamaica Unbranded;real-time Berkshire solid state
6;2019-10-08T21:47:47;2019-10-09T00:09:44;Switzerland CFP Franc;Granite Configuration Buckinghamshire
7;2019-10-09T01:06:56;2019-10-09T05:43:25;Tasty Rubber Shoes frictionless;payment
8;2019-10-09T01:33:00;2019-10-08T23:06:57;Brunei Darussalam;Rubber Shirt
9;2019-10-09T03:58:53;2019-10-08T14:34:10;Mouse Rupiah;Human Mission
10;2019-10-08T15:17:32;2019-10-08T07:57:32;Savings Account;Licensed Wooden Pants
