id;timestamp;type;substitute_type;substitute_no;description;is_interchangeable;relations_level;is_checked_to_original;orig_check_date
1;2019-10-07T20:29:14;optimal EXE optical;Synchronised Pizza;array;Quality-focused Quality Generic;true;75271;false;2019-10-08T06:15:29
2;2019-10-07T12:54:20;Accountability Burg SAS;Fresh;Reduced Corporate;connecting;true;75663;true;2019-10-08T03:51:22
3;2019-10-08T09:54:41;asymmetric;website New York;exuding;Beauty synthesizing;false;10698;false;2019-10-07T15:48:00
4;2019-10-08T09:37:20;web services copying;deposit Mobility;solid state;Baht;false;94729;false;2019-10-08T06:04:18
5;2019-10-07T17:04:07;Handmade Rubber Shoes proactive Checking Account;SCSI;Technician Architect calculate;Auto Loan Account;false;2458;false;2019-10-08T09:32:01
6;2019-10-07T14:20:54;target;compress UAE Dirham Dam;Wells;partnerships Terrace Hat;true;82592;true;2019-10-08T02:54:13
7;2019-10-08T04:45:58;Licensed Kroon deposit;XSS;Chair mindshare Interactions;THX Coordinator;true;27421;false;2019-10-07T10:26:58
8;2019-10-08T02:34:40;success program;teal Outdoors payment;Utah Mall;Liaison teal;true;9116;true;2019-10-08T06:22:36
9;2019-10-07T15:33:45;connecting back up;back-end 4th generation;Principal Savings Account online;Music Savings Account;true;68556;false;2019-10-07T23:44:14
10;2019-10-07T20:39:46;Networked;Handcrafted Rubber Gloves;South Carolina;website Curve;false;46459;false;2019-10-07T17:44:02
