id;timestamp;code;name;iso_3166_alpha_2;iso_3166_alpha_3
1;2019-10-07T21:52:55;Open-source Metal Auto Loan Account;Awesome;Sa;Che
2;2019-10-07T23:09:44;Bahamas;Manager open architecture;Go;Inv
3;2019-10-07T22:44:49;users scalable;transmitting parse infrastructures;ma;Mob
4;2019-10-07T16:44:47;Refined Soft Keyboard synthesizing;indigo Bacon Mouse;Pr;HDD
5;2019-10-08T00:38:45;indexing models e-enable;Money Market Account Saint Helena;Bo;dis
6;2019-10-07T21:02:11;experiences;Credit Card Account;Be;Inv
7;2019-10-07T15:08:18;Cheese orchestration Robust;Steel salmon application;US;Bos
8;2019-10-07T19:34:11;Buckinghamshire Cameroon;Intuitive application;Ba;Per
9;2019-10-07T12:15:43;Idaho strategize;value-added Savings Account;Co;bus
10;2019-10-07T19:50:01;Awesome International solid state;alarm;qu;Che
