id;timestamp;pos_value;description
1;2019-10-08T06:54:30;8;programming hard drive Mexico
2;2019-10-07T23:34:15;3;override silver orchestration
3;2019-10-08T00:47:57;2;program Bouvet Island (Bouvetoya)
4;2019-10-07T18:02:11;7;asymmetric Montana Sausages
5;2019-10-07T23:27:45;4;Checking Account frictionless
6;2019-10-08T00:06:26;2;Awesome Frozen Mouse open architecture
7;2019-10-07T15:34:22;1;Metal
8;2019-10-08T10:56:40;8;Investment Account
9;2019-10-07T23:41:31;7;cross-platform Unbranded
10;2019-10-07T14:35:33;9;Administrator Frozen matrix
