id;timestamp;modification_date;rank;code;description;factor
1;2019-10-09T04:51:11;2019-10-08T12:22:56;93722;Baht;Paradigm;16637
2;2019-10-08T14:19:03;2019-10-08T12:48:36;6735;Mississippi proactive Checking Account;SCSI;99014
3;2019-10-08T07:57:00;2019-10-08T15:05:18;96887;calculate Rubber;utilize Small Fresh Gloves target;81878
4;2019-10-08T12:49:26;2019-10-09T01:15:12;68329;Dam;Wells;94430
5;2019-10-08T21:05:06;2019-10-09T04:51:39;45138;Hat neural Guinea Franc;bypassing;77282
6;2019-10-08T14:58:54;2019-10-09T01:47:32;65451;systemic;Liaison Grocery capacitor;90952
7;2019-10-08T21:14:24;2019-10-08T10:44:13;63852;unleash grid-enabled Specialist;success program;74583
8;2019-10-09T02:11:56;2019-10-09T02:30:17;3113;payment efficient RSS;Vietnam Mouse;20370
9;2019-10-08T10:28:00;2019-10-09T05:07:32;77659;connect;Saint Martin Kids back-end;29416
10;2019-10-09T06:31:58;2019-10-08T09:25:46;92084;Savings Account online Avon;Savings Account;60730
